\id MRK
\c 7
\level phrase
\separators . ? ؟ ! , ، ; ؛ : ।
0.740	2.830	s1
2.830	12.380	1
12.380	18.570	2a
18.570	22.080	2b
22.080	32.450	3
32.450	36.410	4a
36.410	38.580	4b
38.580	39.660	4c
39.660	45.960	4d
45.960	49.070	4e
49.070	57.590	5a
57.590	66.720	5b
66.720	69.420	6a
69.420	78.310	6b
78.310	82.260	6c
82.260	87.200	6d
87.200	91.160	6e
91.160	97.260	7a
97.260	102.400	7b
102.400	104.630	8a
104.630	111.280	8b
111.280	119.340	9
119.340	130.960	10
130.960	144.510	11a
144.510	151.850	11b
151.850	161.040	12
161.040	166.470	13a
166.470	168.960	13b
168.960	170.240	s2
170.240	174.170	14a
174.170	178.850	14b
178.850	184.120	15a
184.120	188.310	15b
188.310	189.280	16a
189.280	191.220	16b
191.220	196.180	17a
196.180	201.590	17b
201.590	203.530	18a
203.530	206.430	18b
206.430	214.220	18c
214.220	217.060	19a
217.060	218.930	19b
218.930	222.700	19c
222.700	229.760	19d
229.760	231.510	20a
231.510	237.040	20b
237.040	242.780	21-22a
242.780	244.260	21-22b
244.260	245.280	21-22c
245.280	246.280	21-22d
246.280	247.980	21-22e
247.980	248.830	21-22f
248.830	249.820	21-22g
249.820	250.590	21-22h
250.590	251.660	21-22i
251.660	252.710	21-22j
252.710	253.830	21-22k
253.830	254.950	21-22l
254.950	259.050	21-22m
259.050	265.520	23a
265.520	267.180	s3
267.180	272.570	24a
272.570	276.660	24b
276.660	280.400	24c
280.400	288.500	25a
288.500	292.910	25b
292.910	296.050	26a
296.050	302.330	26b
302.330	308.500	26c
308.500	311.320	27a
311.320	314.670	27b
314.670	320.410	27c
320.410	323.340	28a
323.340	324.530	28b
324.530	326.850	28c
326.850	336.400	28d
336.400	338.880	29a
338.880	344.260	29b
344.260	345.490	29c
345.490	349.710	29d
349.710	357.260	30a
357.260	360.320	30b
360.320	363.340	s4
363.340	367.760	31a
367.760	375.010	31b
375.010	384.540	32a
384.540	389.990	32b
389.990	397.800	33a
397.800	403.040	33b
403.040	407.870	34a
407.870	408.850	34b
408.850	410.940	34c
410.940	412.100	34d
412.100	417.380	35a
417.380	422.020	35b
422.020	424.890	36a
424.890	429.120	36b
429.120	438.290	36c
438.290	442.770	37a
442.770	444.840	37b
444.840	447.920	37c
447.920	451.560	37d
451.560	455.520	37e
