\id MRK
\c 8
\level phrase
\separators . ? ؟ ! , ، ; ؛ : ।
0.360	3.660	s1
3.660	9.140	1a
9.140	15.730	1b
15.730	19.290	2a
19.290	22.210	2b
22.210	25.800	2c
25.800	35.600	3a
35.600	39.340	4a
39.340	46.160	4b
46.160	48.420	5a
48.420	51.740	5b
51.740	53.760	5c
53.760	55.170	5d
55.170	58.960	6a
58.960	64.200	6b
64.200	69.520	6c
69.520	72.360	6d
72.360	76.180	7a
76.180	79.780	7b
79.780	84.730	7c
84.730	88.730	8a
88.730	94.500	8b
94.500	98.350	9a
98.350	102.330	9b
102.330	107.160	10
107.160	109.600	s2
109.600	114.200	11a
114.200	117.610	11b
117.610	121.070	11c
121.070	124.660	12a
124.660	127.030	12b
127.030	131.540	12c
131.540	138.180	12d
138.180	142.580	13
142.580	144.380	s3
144.380	149.330	14a
149.330	154.100	14b
154.100	158.580	15a
158.580	159.720	15b
159.720	165.870	15c
165.870	169.130	16a
169.130	173.790	16b
173.790	176.240	17a
176.240	181.480	17b
181.480	186.400	17c
186.400	190.150	17d
190.150	193.030	18a
193.030	196.260	18b
196.260	198.290	18c
198.290	207.840	19a
207.840	210.260	19b
210.260	211.640	19c
211.640	213.900	20a
213.900	224.360	20b
224.360	226.510	20c
226.510	227.730	20d
227.730	230.210	21a
230.210	232.820	21b
232.820	234.380	s4
234.380	237.200	22a
237.200	245.570	22b
245.570	251.160	23a
251.160	254.060	23b
254.060	257.550	23c
257.550	259.450	23d
259.450	261.870	24a
261.870	264.100	24b
264.100	266.850	24c
266.850	270.520	24d
270.520	273.770	25a
273.770	276.420	25b
276.420	280.900	25c
280.900	292.640	26
292.640	294.460	s5
294.460	301.600	27a
301.600	305.920	27b
305.920	309.050	27c
309.050	312.210	28a
312.210	318.340	28b
318.340	324.290	28c
324.290	331.930	28d
331.930	334.430	29a
334.430	338.420	29b
338.420	339.800	29c
339.800	341.960	29d
341.960	348.340	30
348.340	349.200	s6
349.200	351.820	31a
351.820	357.880	31b
357.880	359.100	31c
359.100	360.600	31d
360.600	366.090	31e
366.090	370.070	31f
370.070	374.880	32a
374.880	380.990	32b
380.990	385.620	33a
385.620	389.490	33b
389.490	390.530	33c
390.530	391.860	33d
391.860	394.830	33e
394.830	397.820	33f
397.820	405.250	34a
405.250	413.600	34b
413.600	423.250	34c
423.250	431.450	35a
431.450	440.780	35b
440.780	452.120	36
452.120	458.780	37
458.780	479.270	38a
479.270	490.200	38b
