3.760	6.020	s1
6.020	18.320	1
18.320	32.600	2
32.600	39.840	3
39.840	49.160	4
49.160	52.360	s2
52.360	66.960	5
66.960	79.780	6
79.780	92.020	7
92.020	100.160	8
100.160	107.740	9
107.740	113.800	10
113.800	117.480	11
117.480	122.000	12
122.000	132.220	13
132.220	148.260	14-15
148.260	151.620	s3
151.620	165.480	16
165.480	171.660	17
171.660	186.620	18
186.620	189.880	s4
189.880	199.220	19
199.220	208.940	20
208.940	214.980	21
214.980	218.160	s5
218.160	228.120	22
228.120	238.740	23
238.740	242.560	s6
242.560	257.680	24
257.680	272.740	25
272.740	285.880	26
285.880	291.220	27
291.220	301.580	28
301.580	309.820	29
309.820	321.460	30
321.460	328.460	31
328.460	341.700	32
341.700	350.300	33
350.300	359.800	34
