4.120	6.520	s1
6.520	15.280	1
15.280	23.860	2
23.860	26.600	s2
26.600	42.000	3
42.000	55.220	4
55.220	62.480	5
62.480	73.300	6
73.300	85.240	7
85.240	89.380	8
89.380	103.360	9
103.360	111.600	10
111.600	115.680	s3
115.680	130.060	11
130.060	138.240	12
138.240	145.760	13
145.760	154.340	14
154.340	158.320	s4
158.320	168.120	15
168.120	173.220	16
173.220	185.520	17
185.520	193.240	18
193.240	211.220	19
211.220	220.440	20
220.440	229.900	21
229.900	239.420	22
239.420	247.940	23
247.940	265.740	24
265.740	272.980	25
272.980	281.880	26
281.880	286.040	s5
286.040	297.440	27
297.440	302.640	28
302.640	318.160	29
318.160	326.500	30
326.500	343.840	31
343.840	347.080	s6
347.080	358.340	32
358.340	365.840	33
365.840	376.000	34
376.000	385.600	35
385.600	388.940	36
388.940	401.440	37
401.440	413.220	38
413.220	419.480	39
419.480	429.680	40
429.680	436.400	41
436.400	448.360	42
448.360	458.220	43
458.220	464.800	44
464.800	467.180	s7
467.180	472.960	45
472.960	487.360	46
487.360	492.840	47
492.840	505.360	48
505.360	512.760	49
512.760	517.860	50
517.860	525.480	51
525.480	533.940	52
533.940	545.520	53
545.520	559.100	54
559.100	569.520	55
569.520	579.180	56
579.180	580.720	s8
580.720	590.960	57
590.960	600.260	58
600.260	606.140	59
606.140	616.960	60
616.960	622.980	61
622.980	625.520	s9
625.520	633.940	62
633.940	644.800	63
644.800	670.320	64
670.320	680.820	65
680.820	695.280	66
