\id LUK
\c 3
\level phrase
\separators . ? ! : ; , ।
3.280	10.840	1a
10.840	18.320	1b
18.320	27.280	1c
27.280	30.540	2a
30.540	37.000	2b
37.000	41.900	3a
41.900	49.440	3b
49.440	54.340	4a
54.340	58.200	4b
58.200	61.620	4c
61.620	65.280	4d
65.280	67.400	5a
67.400	69.680	5b
69.680	70.760	5c
70.760	74.320	5d
74.320	77.280	5e
77.280	79.020	5f
79.020	82.940	6
82.940	88.940	7a
88.940	92.360	7b
92.360	97.780	7c
97.780	100.840	8a
100.840	105.520	8b
105.520	107.840	8c
107.840	111.660	8d
111.660	119.220	8e
119.220	123.360	9a
123.360	127.220	9b
127.220	129.000	9c
129.000	131.900	9d
131.900	136.740	9e
136.740	139.780	9f
139.780	142.360	9g
142.360	144.460	10a
144.460	146.080	10b
146.080	148.960	11a
148.960	154.140	11b
154.140	156.960	11c
156.960	162.940	12a
162.940	163.920	12b
163.920	165.400	12c
165.400	167.500	13a
167.500	169.920	13b
169.920	172.120	13c
172.120	174.140	14a
174.140	175.500	14b
175.500	177.420	14c
177.420	179.960	14d
179.960	185.980	14e
185.980	193.760	15a
193.760	195.380	15b
195.380	197.940	16a
197.940	200.740	16b
200.740	204.660	16c
204.660	206.880	16d
206.880	211.360	16e
211.360	214.960	16f
214.960	218.740	17a
218.740	222.980	17b
222.980	230.960	17c
230.960	236.580	18
236.580	238.420	19a
238.420	249.480	19b
249.480	250.820	19c
250.820	254.140	20a
254.140	261.000	20b
261.000	267.460	21a
267.460	276.520	21b
276.520	280.640	21c
280.640	297.860	22a
297.860	301.480	22b
301.480	305.000	22c
305.000	311.940	23a
311.940	314.500	23b
314.500	322.500	23c
322.500	323.700	23d
323.700	327.240	24a
327.240	329.920	24b
329.920	335.040	24c
335.040	344.120	25
344.120	349.840	26a
349.840	358.820	26b
358.820	369.520	27
369.520	377.580	28
377.580	385.020	29
385.020	392.340	30
392.340	396.900	31a
396.900	401.580	31b
401.580	414.340	32
414.340	429.400	33
429.400	440.940	34
440.940	452.260	35
452.260	464.000	36
464.000	476.060	37
476.060	486.120	38
