\id MRK
\c 5
\level verse
\separators .?!:;,
11	15.14	1
15.14	24.52	2
24.52	31.52	3
31.52	43.98	4
43.98	52.96	5
52.96	59	6
59	73.1	7
73.1	78.74	8
78.74	87.2	9
87.2	93.28	10
93.28	97.94	11
97.94	104	12
104	118.16	13
118.16	126.16	14
126.16	135	15
135	140.68	16
140.68	145.68	17
145.68	152.42	18
152.42	164.3	19
164.3	174.84	20
174.84	182.98	21
182.98	189.68	22
189.68	200.86	23
200.86	208.04	24
208.04	211.9	25
211.9	221.8	26
221.8	225.46	27
225.46	234.38	28
234.38	243	29
243	253.8	30
253.8	261.74	31
261.74	265.2	32
265.2	275.46	33
275.46	286.38	34
286.38	299.46	35
299.46	308.44	36
308.44	316.78	37
316.78	323.54	38
323.54	334.68	39
334.68	346.92	40
346.92	356.04	41
356.04	363.6	42
363.6	376	43
