\id MRK
\c 14
\level verse
\separators .?!:;,
12	27.52	1
27.52	33.9	2
33.9	48.4	3
48.4	53.26	4
53.26	63.02	5
63.02	72.72	6
72.72	84.66	7
84.66	93.2	8
93.2	105.14	9
105.14	114.96	10
114.96	126.64	11
126.64	138.74	12
138.74	147.86	13
147.86	161.36	14
161.36	167.84	15
167.84	174.82	16
174.82	179.42	17
179.42	192.84	18
192.84	199.46	19
199.46	206.5	20
206.5	222.3	21
222.3	231.58	22
231.58	238.84	23
238.84	244.76	24
244.76	259.52	25
259.52	263.86	26
263.86	274.48	27
274.48	280.84	28
280.84	286.68	29
286.68	301.3	30
301.3	312.92	31
312.92	322.84	32
322.84	331.6	33
331.6	339.42	34
339.42	348.62	35
348.62	363.24	36
363.24	374.28	37
374.28	385	38
385	388.72	39
388.72	399.8	40
399.8	413.5	41
413.5	421.46	42
421.46	437.44	43
437.44	449.74	44
449.74	455.96	45
455.96	459.48	46
459.48	467.32	47
467.32	475.56	48
475.56	488.78	49
488.78	492.96	50
492.96	500.92	51
500.92	505.22	52
505.22	515.42	53
515.42	525.84	54
525.84	535.88	55
535.88	541.48	56
541.48	543.92	57
543.92	555.16	58
555.16	558.92	59
558.92	569.56	60
569.56	581.08	61
581.08	593.36	62
593.36	596.8	63
596.8	610.22	64
610.22	623.02	65
623.02	629.54	66
629.54	638.92	67
638.92	648.84	68
648.84	659.9	69
659.9	669.26	70
669.26	676.9	71
676.9	695.4	72
