\id MRK
\c 13
\level verse
\separators .?!:;,
10.8	21.92	1
21.92	31.28	2
31.28	42.06	3
42.06	50.88	4
50.88	57.6	5
57.6	66.14	6
66.14	77.34	7
77.34	90.12	8
90.12	108.26	9
108.26	113.38	10
113.38	129.4	11
129.4	140.56	12
140.56	150.08	13
150.08	165.46	14
165.46	173.54	15
173.54	178.16	16
178.16	183.8	17
183.8	188.88	18
188.88	200.32	19
200.32	211.88	20
211.88	220.3	21
220.3	231.74	22
231.74	238.04	23
238.04	246.4	24
246.4	254.38	25
254.38	262.94	26
262.94	275.48	27
275.48	285.24	28
285.24	293.52	29
293.52	302.34	30
302.34	308.9	31
308.9	318.24	32
318.24	327.38	33
327.38	341.4	34
341.4	350.8	35
350.8	356.88	36
356.88	364.6	37
