\id MRK
\c 8
\level verse
\separators .?!:;,
12	22.38	1
22.38	33.04	2
33.04	43.12	3
43.12	52.54	4
52.54	59.92	5
59.92	73.66	6
73.66	80.44	7
80.44	86.66	8
86.66	90.3	9
90.3	98.56	10
98.56	108.9	11
108.9	121.94	12
121.94	126.38	13
126.38	134.14	14
134.14	143.84	15
143.84	148.96	16
148.96	162.22	17
162.22	169.46	18
169.46	179.5	19
179.5	188.18	20
188.18	193.46	21
193.46	201.76	22
201.76	212.86	23
212.86	221.54	24
221.54	229.9	25
229.9	236.42	26
236.42	250.34	27
250.34	259.62	28
259.62	268.58	29
268.58	275.34	30
275.34	291.64	31
291.64	299.84	32
299.84	314.06	33
314.06	329.74	34
329.74	342.32	35
342.32	350.94	36
350.94	356.16	37
356.16	372.04	38
